class,placeId,name_kor,name_eng,location
restaurants,10000599,빌즈 광화문,bills Gwanghwamun,"37.5717,126.97971"
restaurants,10025748,뱀부하우스,Bamboo House,"37.507,127.03664"
restaurants,10040756,117 파크,117 Park,"37.571552,126.970795"
restaurants,1006353,레보,Les Baux,"37.52602,127.03659"
restaurants,10063988,참치공방,Chamchi Gongbang,"37.57072,126.98422"
restaurants,10065566,할스,Hearth,"37.50355,127.03987"
restaurants,10073597,오리지널 팬케이크 하우스,The Original Pancake House Itaewon,"36.951187,127.02991"
restaurants,10079161,BHC치킨 명동본점,BHC Chicken Myeongdong,"37.564575,126.983864"
restaurants,10080270,아카시아 카페 비스트로,Acacia Cafe & Bistro,"37.5199,127.022675"
restaurants,10083141,탑 카페테리아,TOP cafeteria,"37.563343,127.0371"
restaurants,10085211,야마뜨,Yec'hed Mat,"37.54899,126.91879"
restaurants,10096415,자연별곡,Nature Kitchen,"37.570892,126.97895"
restaurants,10103011,YG 리퍼블릭,YG Republique,"37.564583,126.983574"
restaurants,10116264,롱브레드,Long Bread,"37.56409,126.99794"
restaurants,10117976,브라더후드키친,Brotherhood Kitchen,"37.502785,127.02744"
restaurants,10118068,멘야하나비,Menya Hanabi,"37.51106,127.1076"
restaurants,10122363,익선동121,EX-ON 121,"37.574028,126.990295"
restaurants,10133954,이빠네마 그릴,Ipanema Grill,"37.55708,126.93718"
restaurants,10136205,개성만두 궁,Gaeseong Mandu Koong,"37.574345,126.985565"
restaurants,10137453,아그라 코엑스몰점,Agra COEX Mall,"37.51139,127.059166"
restaurants,10137496,이태원 겐지스,Ganges Itaewon,"37.53524,126.99898"
restaurants,10151079,몰트바배럴,Malt Bar BARREL,"37.510704,127.0555"
restaurants,10154101,래미스,Ramie's,"37.535004,126.99442"
restaurants,10160945,엉터리생고기 왕십리점,Ungteori Saenggogi Wangsimni,"37.562614,126.98405"
restaurants,10160977,명동칼국수,Myeongdong Kalguksu,"37.520832,126.93128"
restaurants,10161274,오후정,Ohujeong,"37.386036,127.12219"
restaurants,10161356,모모카페 코트야드 서울 남대문,MoMo Cafe Courtyard Seoul Namdaemun,"37.560974,126.976906"
restaurants,10161422,반미리,Banhmi Lee,"37.54307,126.98758"
restaurants,10167973,버거뱅,Burgerbang,"37.57853,126.98911"
restaurants,10169301,중앙해장,Jungang Haejang,"37.50795,127.06556"
restaurants,10171106,,Shinsi Hwaro Seorae Mael BBQ Joint,"37.49874,126.99786"
restaurants,10171533, ,Ramen Beravo,"37.553707,126.90965"
restaurants,10174333,옥수 해물찜 칼국수,Oksoo Haemulchim Kalkuksoo,"37.54229,127.01815"
restaurants,1017583,세시 셀라 압구정점,Ceci Cela Apgujeong Store,"37.52313,127.03616"
restaurants,1017585,브루스케타 코엑스점,Bruschetta Pix Caffe,"37.51184,127.05845"
restaurants,1018414,디자인 카페,Design Cafe,"37.52582,127.03638"
restaurants,10184287,젠바,Zen Bar,"37.552402,126.92216"
restaurants,10189486,들풀,Dulpul,"37.55653,126.922"
restaurants,10189513,무화잠,Moohwajam,"37.52057,127.02968"
restaurants,10189599,Bbq  ,Bbq Primium Cafe,"37.551144,127.12817"
restaurants,10189607,,Hwarin,"37.502422,127.03759"
restaurants,10192704,피짜 무쪼,Pizza Muzzo,"37.534782,126.99628"
restaurants,10197345,모녀꼬마마약김밥,Monyeo Kkoma Mayak Gimbap,"37.570248,127.00111"
restaurants,10202101,가온,Gaon,"37.522617,127.03644"
restaurants,10202451,장수갈매기,Jansu Galmaegi,"37.543022,126.95171"
restaurants,10202624,동원집,Dongwon Jip,"37.566154,126.98259"
restaurants,10206020,닭진미 강원집,Dakjinmi Gangwon Jib,"37.56409,126.99794"
restaurants,1022941,페이퍼 가든,Cafe Papergarden,"37.523876,127.03758"
restaurants,10229475,사랑의고기,Beef of Love,"37.537884,127.00488"
restaurants,10235656,남산와이너리,Namsan Winery,"37.538914,126.98911"
restaurants,10240194,페르시안 퀸,Persian Queen,"37.539543,126.99538"
restaurants,10240375,랩,Ramen Truck Lab,"37.547447,126.922585"
restaurants,10241286,김삼보 김치찌개,Kimsambo Kimchi-Jjigae,"37.566063,127.00573"
restaurants,10245574,플라워진,Flower Gin,"37.539825,126.98755"
restaurants,10250277,루트,Root,"37.53727,127.00004"
restaurants,10253268,더 파운틴,The Fountain,"37.535152,126.993"
restaurants,10253390,,360,"37.563755,126.90842"
restaurants,10257443,지화자,Jihwaja,"37.586956,126.96952"
restaurants,10257708,몽키숄더,Monkey Shoulder,"37.536716,126.99969"
restaurants,10257940,글램 라운지,Glam Lounge,"37.535072,126.99359"
restaurants,10263330,  ,  ,"37.577118,127.03094"
restaurants,10266362,유로구르메,Eurogourmet,"37.568375,126.97827"
restaurants,10277863,앙프랑뜨,L'Empreinte French Bistro Seoul,"37.56152,126.92442"
restaurants,10277871,더스트릿,The STREET,"37.524715,127.051414"
restaurants,10277955,향정 인사동,Hyangjeong Insadong,"37.5743,126.98404"
restaurants,10278307,,Iron Pan,"37.565517,126.99529"
restaurants,10309069,Slice,Slice,"37.52535,127.05033"
restaurants,10318499,김치버스,Kimchi Bus,"37.541233,127.06576"
restaurants,10338068,스팀펑크,Steampunk,"37.503876,127.02799"
restaurants,10342030,미스테이크룸,MISSTAKEROOM,"37.53395,126.99313"
restaurants,10342318,뚝심한우,Dduksim Hanu,"37.563274,126.98576"
restaurants,10359032,소울트럭,Soul Truck,"37.539375,126.99152"
restaurants,10379991,누사,Nusa,"37.544968,126.92424"
restaurants,10386964,Nature Kitchen,Nature Kitchen,"37.51021,127.09743"
restaurants,10388017,빤닭빤닭,Bbandak Bbandak,"37.563473,126.985245"
restaurants,10431608,열두달,12dal,"37.572975,126.989586"
restaurants,10436094,낭만치맥,Romantic Chimac,"37.561024,126.85488"
restaurants,10455715,구스토타코,Gusto Taco USAG Yongsan,"37.529884,126.98219"
restaurants,10455766,노멀바이류니끄,Normal by Ryunique,"37.520817,127.02222"
restaurants,10472526,소살리토바닷가재,Sausalito Lobster,"37.572224,126.98646"
restaurants,10483058,L'Empreinte Bistro,L'Empreinte Bistro,"37.56155,126.9241"
restaurants,10492609,올드캡,OLDCAP,"37.537045,126.98816"
restaurants,10510550,카페로쏘,Cafe Rosso,"37.582863,126.98122"
restaurants,10536084,애슐리 노들나루점,Ashley Nodeul Naru,"37.525715,126.93841"
restaurants,10536992,에르메스 까페마당,"Cafe Madang, Maison Hermes Dosan Park","37.522976,127.03518"
restaurants,1058133,더 플라잉 팬 블루,The Flying Pan Blue,"37.534874,126.9944"
restaurants,10593507,라 마밋 서울,La Marmite Seoul,"37.53967,126.9859"
restaurants,10597969,북촌옥,Bukchonok,"37.57937,126.98659"
restaurants,10624805,카페샌드박,Cafe SandPark,"37.557415,126.92135"
restaurants,10628978,미쉬매쉬,Mishmash,"37.537365,127.000046"
restaurants,10629941,,Olbaan,"37.51878,126.92781"
restaurants,10642014,플람스비스트로 서초점,"Flam's Bistro, German & French Restaurant","37.482517,127.01038"
restaurants,10660437,더플레이스,The Place,"37.55595,126.97333"
restaurants,10670911,포춘레스토랑,Fortune Restaurant,"37.5648,127.00505"
restaurants,10674489,Swoyambhu Restaurant,Swoyambhu Restaurant,"37.5517,126.93739"
